date,spy_equity_$,spy_drawdown_%,strategy_equity_$,strategy_drawdown_%
2024-04-24,12786.756708905585,-3.3642358788110505,14241.0,-2.7851730493549054
2024-04-25,12753.623188405796,-3.614642072063467,14241.0,-2.7851730493549054
2024-04-26,12855.805953916584,-2.842397018063658,14425.0,-1.5291146153321056
2024-04-29,12906.897336671978,-2.456274491063748,14569.0,-0.5461123626186115
2024-04-30,12702.531805650404,-4.000764599063366,14785.0,0.0
2024-05-01,12654.602018362546,-4.362993405333082,14871.0,0.0
2024-05-02,12785.492070718568,-3.3737933671031395,14021.0,-5.715822742250021
2024-05-03,12937.24865316033,-2.226894772053911,14140.0,-4.915607558335012
2024-05-06,13064.218327136608,-1.2673229475293923,14140.0,-4.915607558335012
2024-05-07,13080.405695930394,-1.1449870973908038,14224.0,-4.350749781453834
2024-05-08,13081.417406480006,-1.1373411067571504,14322.0,-3.691749041759129
2024-05-09,13154.766421326858,-0.5830067858166976,14450.0,-2.831013381749714
2024-05-10,13168.930369021422,-0.4759629169454382,14570.0,-2.0240737004908915
2024-05-13,13174.747704681691,-0.4319984708018753,14710.0,-1.0826440723555875
2024-05-14,13234.94448238359,0.0,14854.0,-0.1143164548449982
2024-05-15,13387.96570301237,0.0,14854.0,-0.1143164548449982
2024-05-16,13368.490274932345,-0.145469659185371,14942.0,0.0
2024-05-17,13383.160077901712,-0.0358951107081062,14922.0,-0.13385089010842233
2024-05-20,13409.211624554217,0.0,14922.0,-0.13385089010842233
2024-05-21,13431.469256645674,0.0,14922.0,-0.13385089010842233
2024-05-22,13408.199914004605,-0.1732449532991897,14922.0,-0.13385089010842233
2024-05-23,13298.935174646533,-0.9867429948779872,14618.0,-2.168384419756386
2024-05-24,13394.288893947443,-0.2768153058149925,14618.0,-2.168384419756386
2024-05-28,13409.211624554217,-0.1657125640253109,14765.0,-1.1845803774595098
2024-05-29,13303.74079975719,-0.95096414582706,14717.0,-1.5058225137197123
2024-05-30,13214.457343753951,-1.615697499246771,14773.0,-1.131040021416141
2024-05-31,13341.67994536763,-0.6684995480566447,14905.0,-0.24762414670057575
2024-06-03,13346.485570478288,-0.6327206990057177,15256.0,0.0
2024-06-04,13359.63780762324,-0.5347996384453158,15508.0,0.0
2024-06-05,13517.970508637478,0.0,15628.0,0.0
2024-06-06,13514.68244935124,-0.0243236163604221,15652.0,0.0
2024-06-07,13502.794850393302,-0.1122628447404849,15652.0,0.0
2024-06-10,13542.25156182816,0.0,15652.0,0.0
2024-06-11,13573.10873359132,0.0,15652.0,0.0
2024-06-12,13689.834838252777,0.0,15652.0,0.0
2024-06-13,13721.577256746845,0.0,15804.0,0.0
2024-06-14,13724.359460758276,0.0,15804.0,0.0
2024-06-17,13833.371272478946,0.0,15876.0,0.0
2024-06-18,13867.51650352834,0.0,16047.0,0.0
2024-06-20,13827.301009181276,-0.2899978113372614,16047.0,0.0
2024-06-21,13772.162784227432,-0.6876048734223428,16023.0,-0.14956066554495662
2024-06-24,13722.588967296457,-1.0450864521777237,15791.0,-1.5953137658129224
2024-06-25,13774.439132964058,-0.6711899029692936,15623.0,-2.642238424627652
2024-06-26,13789.614791208236,-0.5617567666155954,15407.0,-3.988284414532306
2024-06-27,13816.930976047752,-0.3647771211789719,15535.0,-3.190627531625845
2024-06-28,13769.127652578598,-0.7094915006930713,15295.0,-4.686234187075467
2024-07-01,13795.1791992311,-0.5216312832859171,14919.0,-7.029351280613194
2024-07-02,13874.598477375624,0.0,14919.0,-7.029351280613194
2024-07-03,13933.530616890508,0.0,15007.0,-6.480962173615001
2024-07-05,14020.79065179452,0.0,15159.0,-5.533744625163584
2024-07-08,14042.03657333637,0.0,15159.0,-5.533744625163584
2024-07-09,14060.753218504184,0.0,15159.0,-5.533744625163584
2024-07-10,14193.793155778134,0.0,15255.0,-4.935501962983735
2024-07-11,14068.84690290108,-0.8802879646459427,15255.0,-4.935501962983735
2024-07-12,14162.43012874017,-0.2209629708827765,15255.0,-4.935501962983735
2024-07-15,14203.16918329666,0.0,15255.0,-4.935501962983735
2024-07-16,14279.53562485773,0.0,15375.0,-4.187698635258929
2024-07-17,14076.687659660573,-1.4205501532139508,15375.0,-4.187698635258929
2024-07-18,13983.357361458886,-2.074144924455801,15471.0,-3.589455973079081
2024-07-19,13891.29423072059,-2.7188656853888937,15471.0,-3.589455973079081
